Name,Address
United Methodist Church of Webster,"169 E Main St, Webster, NY 14580, USA"
United Way of Greater Rochester,"75 College Ave, Rochester, NY 14607, USA"
University Tower,"625 University Ave, Rochester, NY 14607, USA"
Villages at Unity Village Square Room,"1471 Long Pond Rd, Rochester, NY 14626, USA"
Walker Fire Hall,"1420 Walker Lake Ontario Rd, Hilton, NY 14468, USA"
Webster Bible Church Lobby,"675 Holt Rd, Webster, NY 14580, USA"
Webster Christian Reformed Church,"1344 State Rd, Webster, NY 14580, USA"
Webster Co Park White House Lodge,"1100 Lake Rd, Webster, NY 14580, USA"
Webster Justice Court Building,"1002 Ridge Rd, Webster, NY 14580, USA"
Webster Parks and Recreation Center,"1350 Chiyoda Dr, Webster, NY 14580, USA"
Webster Presbyterian Church,"550 Webster Rd, Webster, NY 14580, USA"
Webster Public Library,"980 Ridge Rd, Webster, NY 14580, USA"
Webster Village Community Meeting Center Large Meeting Room,"29 South Ave, Webster, NY 14580, USA"
Wheatland Municipal Bldg Senior Ctr,"22 Main St, Scottsville, NY 14546, USA"
William Warfield Community Center,"100 William Warfield Dr, Rochester, NY 14605, USA"
